ROWNUM;VEHICLE_NUM;FULL_NAME;BLANK_NUM;VEHICLE_BRAND_MODEL;INN;OGRN;
1;"ЕО15877";"ООО ""НЖТ-ВОСТОК""";"009177";"FORD FOCUS";"7719750140";"1107746402246";
2;"ЕО18377";"ООО ""НЖТ-ЗАПАД""";"009165";"FORD FOCUS";"7719755444";"1107746566542";
3;"ЕО15577";"ООО ""НЖТ-ВОСТОК""";"009174";"FORD FOCUS";"7719750140";"1107746402246";
4;"ЕО16077";"ООО ""НЖТ-ВОСТОК""";"009179";"FORD FOCUS";"7719750140";"1107746402246";
5;"ЕО18777";"ООО ""НЖТ-ВОСТОК""";"009180";"FORD FOCUS";"7719750140";"1107746402246";
6;"ЕО19177";"ООО ""НЖТ-ВОСТОК""";"009184";"FORD FOCUS";"7719750140";"1107746402246";
7;"Х097НН197";"БЕЗРУКОВ СЕРГЕЙ ВЛАДИМИРОВИЧ";"009190";"FORD FOCUS";"500104169559";"311774624200761";
8;"Н275УР199";"КАРПОВА НАТАЛИЯ ВАСИЛЬЕВНА";"009205";"PEUGEOT 308";"500703837685";"306770000554475";
9;"Р385ОК190";"ЦОЙ АЛЛА КОНСТАНТИНОВНА";"009196";"CHEVROLET LACETTI";"151000103115";"311500926500010";
10;"А448ХР21";"Михайлов Виталий Витальевич";"009213";"TOYOTA CAMRY";"210601260598";"311213407500029";
11;"С804УН34";"БУРДЕЛЕВ ДЕНИС ВАСИЛЬЕВИЧ";"016652";"CHEVROLET KLAN (J200/CHEVROLET)";"344500282675";"310346033600062";
12;"Х991УТ150";"Крутилин Владимир Николаевич";"009214";"Skoda Octavia TOUR";"500100663164";"310500125200040";
13;"О718РА177";"ВЕТЧИНОВ ПЕТР ГАВРИЛОВИЧ";"009207";"MITSUBISHI LANCER 1.6";"771412147640";"311774611600500";
14;"С575ОА199";"АРМАШОВ ВЛАДИМИР БОРИСОВИЧ";"009208";"MAZDA 5";"771604351416";"310774632900464";
15;"Т488ВС199";"ЕГОРОВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ";"009200";"OPEL ZAFIRA";"772425820590";"311774621401155";
16;"О810ОХ190";"Тиунов Андрей Юрьевич";"009217";"NISSAN NOTE";"772329939730";"310502714000050";
17;"Р037МЕ161";"АГАСЯН АЛЕКСАНДР АПЕТНАКОВИЧ";"009203";"RENAULT SR";"614800805004";"308614834400016";
18;"Н744ХН199";"Блинов Михаил Александрович";"009219";"Subaru Impreza";"773376472807";"311774602100122";
19;"С565ОУ199";"МИХАЙЛОВ ГЕОРГИЙ ВИКТОРОВИЧ";"009220";"VOLKSWAGEN PASSAT";"771580693217";"311774629100178";
20;"К327СУ197";"Мурадян Алмаст Азизовна";"014480";"CHEVROLET KLAN J200";"772342180000";"311774628300170";
21;"М480ЕВ71";"БАРКОВСКИй АНДРЕЙ АНАТОЛЬЕВИЧ";"009224";"VAZ 21124";"711706206321";"311715410300160";
22;"А728ТС77";"Гасымов Гашам Шамил Оглы";"029010";"Hyundai Accent";"320207570174";"308320210000010";
23;"Х604АН197";"ООО ""Транс Авто""";"009235";"Hyundai Sonata";"7724622739";"5077746928474";
24;"У356СО177";"Фирсов  Александр Николаевич";"009303";"Great Wall SS 6460 DY";"772782729500";"311774626500546";
25;"Р019ТЕ199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009277";"HYUNDAI ACCENT";"773501373764";"311774624800417";
26;"Х596СН199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009279";"HYUNDAI ACCENT";"773501373764";"311774624800417";
27;"А651СК199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009282";"HYUNDAI ACCENT";"773501373764";"311774624800417";
28;"Х729УА199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009287";"HYUNDAI ACCENT";"773501373764";"311774624800417";
29;"Х819СН199";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009292";"HYUNDAI ACCENT";"773501373764";"311774624800417";
30;"У390ЕО197";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009296";"HYUNDAI SONATA";"773501373764";"311774624800417";
31;"У388ЕО197";"ВОЛЧКОВ ПАВЕЛ ИГОРЕВИЧ";"009298";"HYUNDAI SONATA";"773501373764";"311774624800417";
