№ п/п;Реестровый №;Наименование юридического лица, за которым закреплено имущество области ;Балансовая стоимость основных средств, тыс. руб.;Остаточная стоимость основных средств, тыс. руб;Незавершенное строительство (размер затрат), тыс.руб.;Материальные запасы, тыс.руб.;Долгосрочные финансовые вложения, тыс.руб.;Нематериальные активы, тыс.руб.;Иные активы, тыс.руб.;
1;913;Контрольно-счетная палата Вологодской области;5905,55242;977,03094;;172,5211;;;29,77242;
2;3185;Законодательное собрание Вологодской области;87034,59073;150705,54763;;2403,95288;;;593,4204;
3;3717;Избирательная комиссия Вологодской области;9147,81748;430,55552;;298,7502;;;76,79522;
4;1119;Территориальная избирательная комиссия Тотемского муниципального района;173,88986;0;;;;;;
5;1120;Территориальная избирательная комиссия Никольского муниципального района;180,10586;0;;;;;6,95068;
6;1121;Территориальная избирательная комиссия Междуреченского муниципального района;155,35586;0;;;;;0,0156;
7;1122;Территориальная избирательная комиссия Вожегодского муниципального района;153,01586;0;;;;;13,42387;
8;1123;Территориальная избирательная комиссия Кирилловского муниципального района;261,19676;0;;;;;0,10443;
9;1124;Территориальная избирательная комиссия Вытегорского муниципального района;349,86486;0;;2,53;;;0,10669;
10;1125;Территориальная избирательная комиссия Тарногского муниципального района;188,53986;0;;;;;;
11;1126;Территориальная избирательная комиссия Великоустюгского муниципального района;162,19586;0;;;;;19,7025;
12;1127;Территориальная избирательная комиссия Бабушкинского муниципального района;229,72176;0;;8,85257;;;;
13;1128;Территориальная избирательная комиссия Кичменгско-Городецкого муниципального района;153,66086;0;;0,4838;;;;
14;1129;Территориальная избирательная комиссия Усть-Кубинского муниципального района;158,56576;0;;;;0,009;;
15;1130;Территориальная избирательная комиссия Сямженского муниципального района;177,25289;0;;;;;;
16;1131;Территориальная избирательная комиссия Вашкинского муниципального района;131,11816;69,6144;;2,54467;;;-0,58671;
17;1132;Территориальная избирательная комиссия Грязовецкого муниципального района;306,75386;0;;;;;2,1;
18;1133;Территориальная избирательная комиссия Сокольского муниципального района;267,47886;0;;;;;;
19;1134;Территориальная избирательная комиссия Верховажского муниципального района;150,74976;0;;;;;27,56504;
20;1135;Территориальная избирательная комиссия Харовского муниципального района;190,98586;0;;9,708;;;;
21;1136;Территориальная избирательная комиссия Белозерского муниципального района;131,95966;0;;9,0559;;;11,99609;
22;1137;Территориальная избирательная комиссия Шекснинского муниципального района;147,50376;0;;;;;7,89553;
23;1138;Территориальная избирательная комиссия Устюженского муниципального района;240,19476;0;;;;;;
24;1139;Территориальная избирательная комиссия Кадуйского муниципального района;221,5746;0;;;;;;
25;1140;Территориальная избирательная комиссия Чагодощенского муниципального района;253,60346;0;;12,41446;;;;
26;1141;Территориальная избирательная комиссия Вологодского муниципального района;201,54198;0;;;;;3,17725;
27;1142;Территориальная избирательная комиссия города Череповца;643,5625;0;;;;;2,10605;
28;1143;Территориальная избирательная комиссия Череповецкого муниципального района;329,55872;52;;;;;0,42408;
29;1144;Территориальная комиссия Бабаевского муниципального района;256,53586;0;;;;;-0,45;
30;1145;Территориальная избирательная комиссия Нюксенского муниципального района;155,83076;0;;;;;;
31;43;Департамент дорожного хозяйства и транспорта Вологодской области;0;0;;;;;-221007,24022;
32;44;Комитет по физической культуре, спорту и молодежной политике Вологодской области;4453,90699;673,91718;;46,86173;;;64492,23762;
33;45;Департамент сельского хозяйства, продовольственных ресурсов и торговли Вологодской области;16734,0508;875,49226;;407,02622;;;1616484,31291;
34;46;Департамент государственной службы и кадровой политики Вологодской области;1387,57249;53,4;;30,90198;;;17984,94508;
35;47;Департамент топливно-энергетического комплекса Вологодской области;0;0;;;;;27,26712;
36;48;Департамент международных, межрегиональных связей и туризма Вологодской области;3655,50932;1687,82047;;441,90525;;;488,07692;
37;50;Департамент экономики Вологодской области;512,91546;35,40364;;26,944;;;;
38;106;Бюджетное учреждение молодежной политики Вологодской области "Содружество";3393,70524;778,06139;;373,38844;;;-93,17474;
39;116;Комитет информационных технологий и телекоммуникаций Вологодской области;53640,49651;36271,58811;;501,61404;;;;
40;157;Департамент строительства и жилищно-коммунального хозяйства Вологодской области;0;0;2229866,72686;;;;1065044,98142;
41;265;Ликвидационная комиссия комитета печати, телерадиовещания и информационных коммуникаций Вологодской области;0;0;;;;;136,2;
42;500;Департамент лесного комплекса Вологодской области;126190,37871;37151,50357;274369,71528;6048,19862;;4766,66704;996050,63888;
43;503;Комитет гражданской защиты и социальной безопасности Вологодской области;1416,50991;18,61895;;27,76539;;;26584,93463;
