№ п/п;Реестровый №;Наименование юридического лица, за которым закреплено имущество области ;Балансовая стоимость основных средств, тыс. руб.;Остаточная стоимость основных средств, тыс. руб;Незавершенное строительство (размер затрат), тыс.руб.;Материальные запасы, тыс.руб.;Долгосрочные финансовые вложения, тыс.руб.;Нематериальные активы, тыс.руб.;Иные активы, тыс.руб.;
1;913;Контрольно-счетная палата Вологодской области;5905.55242;977.03093999999999;;;;;29.772419999999997;
2;3185;Законодательное собрание Вологодской области;87034.590730000011;150705.54762999999;;;;;593.42039999999997;
3;3717;Избирательная комиссия Вологодской области;9147.8174799999997;430.55552;;;;;76.79522;
4;1119;Территориальная избирательная комиссия Тотемского муниципального района;173.88986;0;;;;;;
5;1120;Территориальная избирательная комиссия Никольского муниципального района;180.10585999999998;0;;;;;6.9506800000000002;
6;1121;Территориальная избирательная комиссия Междуреченского муниципального района;155.35585999999998;0;;;;;1.5599999999999999E-2;
7;1122;Территориальная избирательная комиссия Вожегодского муниципального района;153.01585999999998;0;;;;;13.423870000000001;
8;1123;Территориальная избирательная комиссия Кирилловского муниципального района;261.19675999999998;0;;;;;0.10443000000000001;
9;1124;Территориальная избирательная комиссия Вытегорского муниципального района;349.86485999999996;0;;;;;0.10668999999999999;
10;1125;Территориальная избирательная комиссия Тарногского муниципального района;188.53985999999998;0;;;;;;
11;1126;Территориальная избирательная комиссия Великоустюгского муниципального района;162.19585999999998;0;;;;;19.702500000000001;
12;1127;Территориальная избирательная комиссия Бабушкинского муниципального района;229.72176000000002;0;;;;;;
13;1128;Территориальная избирательная комиссия Кичменгско-Городецкого муниципального района;153.66085999999999;0;;;;;;
14;1129;Территориальная избирательная комиссия Усть-Кубинского муниципального района;158.56576000000001;0;;;;;;
15;1130;Территориальная избирательная комиссия Сямженского муниципального района;177.25289000000001;0;;;;;;
16;1131;Территориальная избирательная комиссия Вашкинского муниципального района;131.11816000000002;69.614399999999989;;;;;-0.58671000000000006;
17;1132;Территориальная избирательная комиссия Грязовецкого муниципального района;306.75385999999997;0;;;;;2.1;
18;1133;Территориальная избирательная комиссия Сокольского муниципального района;267.47886;0;;;;;;
19;1134;Территориальная избирательная комиссия Верховажского муниципального района;150.74976000000001;0;;;;;27.56504;
20;1135;Территориальная избирательная комиссия Харовского муниципального района;190.98585999999997;0;;;;;;
21;1136;Территориальная избирательная комиссия Белозерского муниципального района;131.95966000000001;0;;;;;11.996090000000001;
22;1137;Территориальная избирательная комиссия Шекснинского муниципального района;147.50376;0;;;;;7.8955299999999999;
23;1138;Территориальная избирательная комиссия Устюженского муниципального района;240.19476;0;;;;;;
24;1139;Территориальная избирательная комиссия Кадуйского муниципального района;221.5746;0;;;;;;
25;1140;Территориальная избирательная комиссия Чагодощенского муниципального района;253.60345999999998;0;;;;;;
26;1141;Территориальная избирательная комиссия Вологодского муниципального района;201.54198000000002;0;;;;;3.1772499999999999;
27;1142;Территориальная избирательная комиссия города Череповца;643.5625;0;;;;;2.1060500000000002;
28;1143;Территориальная избирательная комиссия Череповецкого муниципального района;329.55871999999999;52;;;;;0.42407999999999996;
29;1144;Территориальная комиссия Бабаевского муниципального района;256.53586000000001;0;;;;;-0.45;
30;1145;Территориальная избирательная комиссия Нюксенского муниципального района;155.83076;0;;;;;;
31;43;Департамент дорожного хозяйства и транспорта Вологодской области;0;0;;;;;-221007.24022000001;
32;44;Комитет по физической культуре, спорту и молодежной политике Вологодской области;4453.9069900000004;673.91718000000003;;;;;64492.23762;
33;45;Департамент сельского хозяйства, продовольственных ресурсов и торговли Вологодской области;16734.050800000001;875.49225999999999;;;;;1616484.3129100001;
34;46;Департамент государственной службы и кадровой политики Вологодской области;1387.57249;53.4;;;;;17984.945079999998;
35;47;Департамент топливно-энергетического комплекса Вологодской области;0;0;;;;;27.267119999999998;
36;48;Департамент международных, межрегиональных связей и туризма Вологодской области;3655.5093199999997;1687.8204699999999;;;;;488.07691999999997;
37;50;Департамент экономики Вологодской области;512.91546000000005;35.403640000000003;;;;;;
38;106;Бюджетное учреждение молодежной политики Вологодской области "Содружество";3393.7052400000002;778.06138999999996;;;;;-93.17474;
39;116;Комитет информационных технологий и телекоммуникаций Вологодской области;53640.496509999997;36271.588109999997;;;;;;
40;157;Департамент строительства и жилищно-коммунального хозяйства Вологодской области;0;0;2229866.7268600008;;;;;
41;265;Ликвидационная комиссия комитета печати, телерадиовещания и информационных коммуникаций Вологодской области;0;0;;;;;136.19999999999999;
42;500;Департамент лесного комплекса Вологодской области;126190.37870999999;37151.503570000001;274369.71528;6048.1986200000001;;;996050.63887999998;
43;503;Комитет гражданской защиты и социальной безопасности Вологодской области;1416.50991;18.618950000000002;;;;;26584.93463;
44;512;Региональная энергетическая комиссия Вологодской области;10672.94893;5649.20741;;;;;7611.4335999999994;
45;590;Департамент по обеспечению деятельности мировых судей Вологодской области;34213.47423;5119.3127100000002;;;;;1164.96542;
46;591;Департамент природных ресурсов и охраны окружающей среды  Вологодской области;4605.7314900000001;135.83435;168231.32124000002;134.07523;;;507.75067999999999;
47;861;Государственное учреждение Вологодской области "Радиоэлектронные комплексы и системы";4453.3102199999994;3518.1150699999998;;;;;;
48;868;Правительство Вологодской области;1750.7413999999999;414.61119000000002;;;;;;
49;980;Управление ветеринарии с государственной ветеринарной инспекцией Вологодской области;861.19727;78.299000000000007;;;;;290443.95321000001;
50;990;Департамент по охране, контролю и регулированию использования объектов животного мира Вологодской области;76162.778560000006;22090.354600000002;;;;;14250.28703;
51;1877;Департамент культуры и охраны объектов культурного наследия Вологодской области;13311.420769999999;1797.25001;;;;;1504743.9075;
52;2133;Комитет по делам архивов  Вологодской области;587.12225999999998;0;;;1253.6905099999999;;;
53;2417;Департамент имущественных отношений Вологодской области;106;11.40558;;;;;;
54;2553;Департамент социальной защиты населения Вологодской области;47698.642140000004;15866.69974;;;11.25;;;
55;2961;Главное управление архитектуры и градостроительства Вологодской области;1627.45255;471.42988000000003;;;;;41.959629999999997;
56;2995;Департамент образования  Вологодской области;32821.151429999998;11728.28873;;;;;303882.19112999999;
57;3176;Автономное учреждение Вологодской области в сфере средств массовой информации "Вологодский областной информационный центр";51099.697529999998;8246.4651699999995;;;;;104.18636000000001;
58;3262;Управление записи актов гражданского состояния Вологодской области;76667.278969999999;57592.289349999999;;;;;34.773980000000002;
59;3533;Государственная жилищная инспекция Вологодской области;2701.7207999999996;116.04632000000001;;;;;117.80128000000001;
60;3557;Управление государственной инспекции по надзору за техническим состоянием самоходных машин и других видов техники Вологодской области;8614.854589999999;1101.6122800000001;;;;;29.36946;
61;3686;Представительство Вологодской области при Президенте Российской Федерации и Правительстве Российской Федерации;56935.562090000007;34046.786220000002;;;;;435.93257;
62;3797;Представительство Вологодской области в Северо-Западном Федеральном округе;8842.6088500000005;157.99126999999999;;;;;325.49083000000002;
63;3897;Бюджетное автотранспортное учреждение Вологодской области "Автотранспортное хозяйство";264954.52500999998;145881.80562999999;;;;;-10815.32717;
64;3926;Инспекция государственного строительного надзора Вологодской области;1733.50611;16.1554;;;;;53.043610000000001;
65;3978;Комитет государственного заказа Вологодской области;4427.0692300000001;438.94812999999999;;;;;1861.7406899999999;
66;3993;Департамент труда и занятости населения Вологодской области;992.61381000000006;538.01;;;;;-67564.412719999993;
67;4001;Бюджетное учреждение по обеспечению содержания  и эксплуатации недвижимого имущества Вологодской области "Управление по эксплуатации зданий";1239335.3522699999;973532.57997000008;;;;;18957.727569999999;
68;4086;Департамент финансов Вологодской области;174352.6213;26815.245719999999;;;;;94806.602360000004;
69;4332;Департамент здравоохранения Вологодской области;13113.516089999999;4347.4835800000001;;;;;983256.21840000001;
70;53;Государственное казенное учреждение Вологодской области "Областное казначейство";24959.165290000001;3734.0578700000001;;;;;10.49377;
71;115;Бюджетное учреждение Вологодской области в сфере регулирования и содействия экономической деятельности и инвестиционной политики "Дирекция индустриального парка";1307.16814;445.20508000000001;;;;;160.25057000000001;
