№ п/п;Реестр. №;Наименование хозяйственного общества (эмитента);Почтовый адрес;Уставный капитал, тыс.руб.;Доля области, %;Акции в соб-сти области, шт.;Примечание;
1;41;ОАО "Северный коммунар";160029 г.Вологда, ул.Машиностроительная, 19;32.572000000000003;0;2;                                                                                                                                                                                                                                                              ;
2;110;ОАО "ФСК ЕЭС";117630 г.Москва, ул.Академика Челомея, 5-а;627974059481;0;136;                                                                                                                                                                                                                                                              ;
3;111;ОАО "ВАП";160015 г.Вологда, п.Дорожный, Аэропорт;37735.760000000002;97.05;2288864;                                                                                                                                                                                                                                                              ;
4;117;ОАО "МРСК Северо-Запада";188300 Ленинградская обл., г.Гатчина, ул.Соборная, 31;9578592.3137999997;0;2692;                                                                                                                                                                                                                                                              ;
5;159;ОАО "Сокольский ЦБК";162130 г.Сокол, Советский пр-кт, 8;7432;0;2;                                                                                                                                                                                                                                                              ;
6;245;ОАО "Сокольский ДОК";162132 г.Сокол, ул.Луговая, 1;100;10;100;                                                                                                                                                                                                                                                              ;
7;317;ООО "Вологодский торговый дом "Ресурс-МРГ";160004 г.Вологда, ул.Батюшкова, 11, оф.516;10;34.200000000000003;1;Не осуществляется хоз.деятельность свыше 1 года;
8;576;ООО "Газпром межрегионгаз Вологда";160004 г.Вологда, ул.Октябрьская, 51;10;25.5;1;Вологодская область в лице Департамента имущественных отношений области                                                                                                                                                                                       ;
9;668;Банк "Северный Кредит" ОАО;160000, г.Вологда, ул.Герцена, 27;256907.8;37.9;9730780;                                                                                                                                                                                                                                                              ;
10;670;ООО "ВЦП";160521 Вологодский р-н, п.Ермаково, ул.Кольцевая, 7;549760.39300000004;72.760000000000005;1;Вологодская область в лице Департамента имущественных отношений области                                                                                                                                                                                       ;
11;671;ОАО "Строительная корпорация Вологодской области";160009 г.Вологда, ул.Челюскинцев, 47;200100;99.95;200000;                                                                                                                                                                                                                                                              ;
12;672;ОАО "Агентство ипотечного жилищного кредитования Вологодской области";160009 г.Вологда, ул.Челюскинцев, 47;50100;99.8;150000;                                                                                                                                                                                                                                                              ;
13;673;ООО "СПК-ОСП";162130 Сокольский р-н, г.Сокол, ул.Гидролизная, 40;1000;25;1;Вологодская область в лице Департамента имушественных отношений области                                                                                                                                                                                       ;
14;674;ОАО "Торговый дом "Росспиртпром Вологда";160009 г.Вологда, ул.3-го Интернационала, 39;200;15;30;Решение арбитражного суда о ликвидации                                                                                                                                                                                                                        ;
15;677;ОАО "Издательство "Север";160001 г.Вологда, ул.Челюскинцев, 3;83.5;51;42580;Добровольная ликвидация                                                                                                                                                                                                                                       ;
16;678;ОАО "Тотемская ЭТС";161300 г.Тотьма, ул.Ленина, 53-а;181237;100;1812370;                                                                                                                                                                                                                                                              ;
17;679;ОАО "Бабаевская ЭТС";162482 г.Бабаево, ул.Гайдара, 36;46090;100;460900;                                                                                                                                                                                                                                                              ;
18;680;ОАО "ОГК-2";356128 Ставропольский край, Изобильненский р-н, п.Солнечнодольск;0;0;182;                                                                                                                                                                                                                                                              ;
19;681;ОАО "Корпорация развития Вологодской области";160000 г.Вологда, ул.Герцена, 27;50500;99.01;500000;                                                                                                                                                                                                                                                              ;
20;682;ОАО "ФосАгро-Череповец";162622, г.Череповец, Северное шоссе, 75;1373546.2587000001;0;276;                                                                                                                                                                                                                                                              ;
21;752;ОАО "Дед Мороз";162390 г.В.Устюг, Советский пр-кт, 85;5642.61;58.07;327667;                                                                                                                                                                                                                                                              ;
22;855;ОАО "Череповецкий ЛВЗ";162600 г.Череповец, ул.Горького, 13;80100;49;490;                                                                                                                                                                                                                                                              ;
23;997;ОАО "Литейный завод";160029 г.Вологда, ул.Машиностроительная, 19;130;0;2;                                                                                                                                                                                                                                                              ;
24;998;ОАО "Механосборочный завод";160029 г.Вологда, ул.Машиностроительная, 19;130;0;2;                                                                                                                                                                                                                                                              ;
25;999;ОАО "Сервис-центр";160029 г.Вологда, ул.Машиностроительная, 19;130;0;2;                                                                                                                                                                                                                                                              ;
26;1000;ОАО "Инженерный центр";160029 г.Вологда, ул.Машиностроительная, 19;130;0;2;                                                                                                                                                                                                                                                              ;
27;1786;ОАО "Вологдалестоппром";160000 г.Вологда, ул.Пушкинская, 18;55.539000000000001;0;2;                                                                                                                                                                                                                                                              ;
28;1790;ОАО "ВМЗ";160004 г.Вологда, ул.Клубова, 5;111;0;2;                                                                                                                                                                                                                                                              ;
29;1791;ОАО "Вологодский оптико-механический завод";160001 г.Вологда, ул.Мальцева, 54;303584;0;1;                                                                                                                                                                                                                                                              ;
30;1961;ОАО "Русджам - Покровский";162431 Чагодощенский р-н, п.Сазоново, ул.Советская, 96;660886.26800000004;0;1;                                                                                                                                                                                                                                                              ;
31;1967;ОAО "Череповецкий завод силикатного кирпича";162622 г.Череповец, ул.Леднева, 2;25.658000000000001;0;2;                                                                                                                                                                                                                                                              ;
32;2484;ОАО "Aвтоколонна 1116";160007 г.Вологда, ул.Гиляровского, 50;50.8;0;2;Конкурсное производство с 17.03.2009                                                                                                                                                                                                                          ;
33;2514;ОАО "Вологдапорт";160012 г.Вологда, Советский пр-кт, 115;8128;0;2;                                                                                                                                                                                                                                                              ;
34;2519;ОAО "Порт "Сокол";162135 г.Сокол ул.Беднякова, 2;6831.42;0;2;                                                                                                                                                                                                                                                              ;
35;2773;ОАО "Вологодская трикотажная фабрика";160012 г.Вологда, Советский пр-кт, 164;14.51;0;1;Не осуществляется хоз.деятельность свыше 1 года                                                                                                                                                                                                               ;
36;2787;ОАО "Птицефабрика "Ермаково";161021 Вологодский р-н, п.Ермаково, ул.Кольцевая, 7;119282;49;584480;                                                                                                                                                                                                                                                              ;
37;2848;ОАО "Вологодский комбинат хлебопродуктов";160012 г.Вологда, ул.Элеваторная, 19;12546.72;0;2;                                                                                                                                                                                                                                                              ;
38;2960;ОАО "Телевидение "Сокол";162130 г.Сокол, ул.Суворова, 18-а;500;50.1;501;                                                                                                                                                                                                                                                              ;
39;2964;ОАО "Сухонский молочный комбинат";162139 г.Сокол, Набережная Сухоны, 24;23.645;0;1;Конкурсное производство с 22.03.2012 сроком на 6 месяцев  , банкротство                                                                                                                                                                                                    ;
40;3037;ОАО "Вологдагаз";160014 г.Вологда, ул.Саммера, 4-а;10.942;0;2;                                                                                                                                                                                                                                                              ;
