№ п/п;Реестровый №;Наименование юридического лица, которому имущество области передано в пользование;Почтовый адрес;Балансовая стоимость основных средств, тыс. руб.; Остаточная стоимость основных средств, тыс. руб.;Незавершенное строительство (размер затрат), тыс.руб;Материальные запасы, тыс.руб.;
1;120;Управление образования Вологодского муниципального района;160035 г.Вологда, ул.Пушкинская, 24;68,80625;0;;;
2;121;Управление образования Череповецкого муниципального района;162612 г.Череповец, ул.Первомайская, 58;61,5996;0;;;
3;122;Управление образования Сокольского муниципального района;162130 г.Сокол, ул.Советская, 73;5,82305;0;;;
4;123;Управление образования Верховажского муниципального района;162300 с.Верховажье, ул.Октябрьская, 8;0,93507;0;;;
5;124;Управление образования Кичменгско-Городецкого муниципального района;161400 с.Кичменгский Городок, ул.Центральная, 5;71,27782;0;;;
6;125;Бюджетное образовательное учреждение Кичменгско-Городецкого муниципального района "Специальная (коррекционная) общеобразовательная школа-интернат VIII вида";161400 с.Кичменгский Городок, ул.Комсомольская, 10;10997,2575;7214,08938;;;
7;126;Управление социальной защиты населения Белозерского муниципального района;161200 г.Белозерск, Советский пр-кт, 63;918,14143;616,78647;;;
8;127;Управление образования Белозерского муниципального района;161200 г.Белозерск, ул.Фрунзе, 19;19,60756;0;;;
9;128;Управление образования администрации Бабаевского муниципального района;162480 г.Бабаево, пл.Революции, 6-а;3,199;0;;;
10;129;Бюджетное учреждение социального обслуживания Кадуйского муниципального района "Социальная гостиница";162511 п.Кадуй, ул.Октябрьская, 23-а;2557,217;1333,73315;;;
11;131;Бюджетное учреждение социального обслуживания "Социальный приют для детей "Гармония";162341 г.Великий Устюг, г.Красавино, ул.Кооперативная, 16;8868,041;7794,81461;;;
12;133;Муниципальное бюджетное учреждение "Дом-интернат для престарелых и инвалидов";162804 Устюженский р-н, д.Ярцево, 4;303,342;167,32676;;;
13;134;бюджетное образовательное учреждение Шекснинского муниципального района "Специальная (коррекционная) общеобразовательная школа-интернат VIII вида";162560 п.Шексна, ул.Гагарина, 13;3501,794;1908,77005;;;
14;135;Управление образования Сямженского муниципального района;162220 с.Сямжа, ул.Румянцева, 20;5,30652;0;;;
15;136;Муниципальное бюджетное образовательное учреждение Череповецкого муниципального района "Петриневская специальная (коррекционная) школа-интернат VIII вида";162650 Череповецкий р-н, с.Воскресенское, ул.Рабочая, 4;34747,1012;18097,7522;;;
16;137;Муниципальное бюджетноеспециальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья "Специальная (коррекционная) начальная школа - детский сад IV вида №58";162610 г.Череповец, ул.Ленина, 147;1925,30601;151,78064;;;
17;139;Управление социальной защиты населения администрации Чагодощенского муниципального района;162400 п.Чагода, ул.Стекольщиков, 3;600,97175;313,59744;;;
18;140;Муниципальное бюджетное специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья "Специальная (коррекционная) общеобразовательная школа VIII вида №38";162601 г.Череповец, ул.К.Белова, 9;2607,46115;1027,40829;;;
19;141;Муниципальное образовательное учреждение "Специальная (коррекционная) общеобразовательная школа-интернат VIII вида";162390 г.Великий Устюг, ул.Виноградова, 17;15457,86111;289,13177;;;
20;142;Управление образования Нюксенского муниципального района;161380 с.Нюксеница, ул.Советская, 13;4,95504;0;;;
21;143;Муниципальное бюджетное специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья "Специальная (коррекционная) общеобразовательная школа VIII вида №35";162600 г.Череповец, ул.Верещагина, 5;23487,15176;10059,74908;;;
22;144;Управление образования Вытегорского муниципального района;162900 г.Вытегра, пр-кт Ленина, 68;53,39123;0;;;
23;145;Муниципальное бюджетное дошкольное образовательное учреждение "Детский сад для детей раннего возраста №2";162611 г.Череповец, пр.Строителей, 23;9,71852;0;;;
24;146;Муниципальное бюджетное дошкольное образовательное учреждение "Детский сад общеразвивающегося вида №76";162601 г.Череповец, ул.К.Белова, 5;2,24784;0;;;
25;147;Муниципальное бюджетное дошкольное образовательное учреждение "Детский сад общеразвивающего вида №88";162600 г.Череповец, пр.Строителей, 12;15,96;0;;;
26;148;Муниципальное дошкольное образовательное учреждение "Детский сад общеразвивающего вида №108";162602 г.Череповец, ул.Ленина, 54-а;110,81638;0;;;
27;149;Муниципальное учреждение "Централизованная бухгалтерия по обслуживанию учреждений образования";162606 г.Череповец, ул.Металлургов, 3-а;232,05033;0;;;
28;150;Муниципальное образовательное учреждение "Средняя общеобразовательная школа №14";162609 г.Череповец, ул.Городецкая, 20;10,51687;0;;;
29;151;Муниципальное учреждение "Специальный жилой дом для одиноких престарелых граждан";162510 п.Кадуй, ул.Энтузиастов, 44;48,19258;0;;;
30;154;Управление образования Кадуйского муниципального района;162500 п.Кадуй, ул.Мира, 38;8,062;0;;;
31;160;Комитет социальной защиты населения Кадуйского муниципального района;162511 п.Кадуй, ул.Октябрьская, 23-а;1484,34743;938,27224;;;
32;163;Муниципальное бюджетное учреждение социального обслуживания населения Тотемского района "Специальный дом для одиноких престарелых";161300 г.Тотьма, ул.Загородная, 68;25,63412;0;;;
33;164;Муниципальное бюджетное учреждение "Специальный дом для одиноких престарелых";162609 г.Череповец, ул.Городецкая, 14;145,72111;0;;;
34;166;Управление образования мэрии города Череповца;162605 г.Череповец, пр-кт Победы, 91;273,32768;0;;;
35;167;Муниципальное учреждение "Специальный дом для одиноких престарелых" Харовского муниципального района Вологодской области;162250 г.Харовск, ул.Энергетиков, 17;247,21748;130,6185;;;
36;168;Бюджетное образовательное учреждение "Нюксенская специальная (коррекционная) общеобразовательная школа-интернат VIII вида";161380 с.Нюксеница, ул.Советская, 9;2364,60678;601,38762;;;
37;172;Муниципальное образовательное учреждение "Белозерская специальная (коррекционная) общеобразовательная школа-интернат VIII вида";161200 г.Белозерск, ул.Коммунистическая, 62;6986,28418;209,04919;;;
38;177;Муниципальное учреждение Междуреченского муниципального района "Специальный дом для одиноких престарелых";161050 Междуреченский р-н, с.Шуйское, ул.Октябрьская, 47;131,273;21,5435;;;
39;180;Бюджетное Учреждение социального обслуживания Кичменгско-Городецкого муниципального района "Дом-интернат для престарелых и инвалидов";161400 с.Кичменгский Городок, ул.Лесная, 42;3664,24919;1613,34169;;;
40;181;Муниципальное бюджетное специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья "Харовская специальная (коррекционная) общеобразовательная школа-интернат;162250 Харовский р-н, с.Лещеево, 13;16298,38391;6853,21179;;;
41;182;Бюджетное учреждение Кадуйского муниципального района "Централизованная бухгалтерия системы социальной защиты населения";162511 п.Кадуй, ул.Октябрьская, 23-а;445,67368;196,9627;;;
42;186;Муниципальное образовательное учреждение дополнительного образования детей "Детско-юношеский центр "Лидер";160029 г.Вологда, ул.Пугачева, 57-а;217,465;35,45594;;;
43;188;Муниципальное дошкольное образовательное учреждение "Детский сад общеразвивающего вида №66 "Петушок";160019 г.Вологда, ул.Чернышевского, 112-в;18,42627;0;;;
44;189;Муниципальное автономное учреждение "Управление городского хозяйства города Вологды";160004 г.Вологда, ул.Пролетарская, 61-а;996,7476;397,38944;;;
45;191;Муниципальное дошкольное образовательное учреждение "Центр развития ребенка - детский сад №99 "Почемучка";160022 г.Вологда, ул.Ярославская, 22-а;10,51687;0;;;
46;192;Муниципальное дошкольное образовательное учреждение "Детский сад общеразвивающего вида №78 "Мастерок";160025 г.Вологда, ул.Беляева, 1-б;8,09625;0;;;
47;193;Муниципальное образовательное учреждение "Средняя общеобразовательная школа №20";160000 г.Вологда, пр.Победы, 50;33,80577;0;;;
48;194;Муниципальное дошкольное образовательное учреждение "Детский сад комбинированного вида№3 "Воробушек";160034 г.Вологда, ул.Ленинградская, 93-б;6,46303;0;;;
49;195;Муниципальное образовательное учреждение "Средняя общеобразовательная школа №37";160032 г.Вологда, ул.Архангельская, 11-б;4,83235;0;;;
50;197;Муниципальное дошкольное образовательное учреждение "Центр развития ребенка - детский сад №108 "Гнездышко";160022 г.Вологда, ул.Ярославская, 38-б;8,09625;0;;;
51;198;Муниципальное дошкольное образовательное учреждение "Детский сад общеразвивающего вида №74 "Белочка";160028 г.Вологда, 1 МКР ПЗ-23, 38;13,5474;0;;;
52;199;Муниципальное образовательное учреждение "Средняя общеобразовательная школа №36";160032 г.Вологда, ул.Пригородная, 14;12,22783;0;;;
53;200;Муниципальное дошкольное образовательное учреждение "Детский сад комбинированного вида № 88 " Искорка";160009 г.Вологда, ул. Галкинская, 95-а;3,19659;0;;;
54;201;Муниципальное образовательное учреждение "Средняя общеобразовательная школа №18";160033 г.Вологда, ул.Петрозаводская, 24-а;72,45347;0;;;
55;202;Муниципальное образовательное учреждение "Средняя общеобразовательная школа №19";160501 г.Вологда, ул.Пионерская, 20;12,71255;0;;;
56;204;Муниципальное образовательное учреждение "Специальная (коррекционная) общеобразовательная школа №1";160011 г.Вологда, ул.Пирогова, 43;3,01813;0;;;
57;205;Муниципальное образовательное учреждение "Средняя общеобразовательная школа №4";160012 г.Вологда, Советский пр-кт, 120;8,97128;0;;;
58;206;Муниципальное общеобразовательное учреждение "Средняя общеобразовательная школа №7";160025 г.Вологда, ул.Беляева, 13;17,40855;0;;;
59;207;Муниципальное образовательное учреждение "Средняя общеобразовательная школа №9";160019 г.Вологда, ул.Чернышевского, 114;21,22524;0;;;
60;208;Муниципальное дошкольное образовательное учреждение "Детский сад общеразвивающего вида №25 "Улыбка";160019 г.Вологда, ул.Некрасова, 34-а;11,99282;0;;;
61;209;Муниципальное образовательное учреждение "Средняя общеобразовательная школа №21";160033 г.Вологда, ул.Петрозаводская, 20;7,21854;0;;;
62;213;Муниципальное образовательное учреждение "Вожегодская средняя общеобразовательная школа №1";162160 п.Вожега, ул.Советская, 23;258,78888;131,26449;;;
63;216;Администрация муниципального образования "город Тотьма";161300 г.Тотьма, ул.Белоусовская, 34;763,253;0;;;
64;218;Муниципальное дошкольное образовательное учреждение "Детский сад общеразвивающего вида № 20 "Одуванчик";160025 г.Вологда, ул.Можайского, 72-а;6,59178;0;;;
65;219;Муниципальное дошкольное образовательное учреждение "Детский сад общеразвивающего вида № 81";162614 г.Череповец, ул.Вологодская, 42;27,93873;0;;;
66;220;Муниципальное дошкольное учреждение "Центр развития ребенка - детский сад № 127";162622 г.Череопвец, ул.Ленина, 7;189,94991;0;;;
67;222;Администрация Бабушкинского сельсвого поселения;161350, Бабушкинский р-н, с. им.Бабушкина, ул.Бабушкина, д.61;60,221;0;;;
68;246;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей (законных представителей) "Детский дом № 9";162618 г.Череповец, ул.Юбилейная, 26;270,467;26,72437;;;
69;247;Муниципальное образовательное учреждение "Андогская средняя общеобразовательная школа";162520 Кадуйский р-н, с.Никольское, ул.Центральная, 14;5,96773;0;;;
70;248;Муниципальное образовательное учреждение для детей дошкольного и младшего дошкольного возраста "Фанерозаводская начальная школа - детский сад";162535 Кадуйский р-н, п.Фанерный завод, ул.Школьная, 42;41,3375;0;;;
71;249;Муниципальное образовательное учтреждение "Средняя общеобразовательная школа № 9";160019 г.Вологда, ул.Чернышевского, 114;16,6116;0;;;
72;251;Муниципальное бюджетное учреждение культуры "Тотемская централизованная библиотечная система";161300 г.Тотьма, ул.Володарского, 16;8267,42784;4573,83137;;;
73;253;Негосударственное образовательное учреждение дополнительного образования "Учебный центр "Профессионал";160032 г.Вологда, ул.Архангельская, 15, кв.51;14873,91655;10352,27517;;;
74;254;Муниципальное образовательное учреждение "Специальная (коррекционная) общеобразовательная школа №1";160011 г.Вологда, ул.Пирогова, 43;3,01813;0;;;
75;255;Федеральное казенное учреждение "Центр хозяйственного и сервисного обеспечения Управления Министерства внутренних дел Российской Федерации по Вологодской области";160000, г.Вологда, Говоровский проезд, 27;35999,9998;35999,9998;;;
76;256;Муниципальное образовательное учреждение "Кадуйская средняя общеобразовательная школа №3";п.Кадуй;4,75373;0;;;
77;257;Муниципальное бюджетное учреждение "Физкультурно-оздоровительный комплекс "Юбилейный";162137 Тотемский р-н, п.Юбилейный, ул.Звездная, 11;209984,8022;209984,8022;;;
78;258;Бюджетное учреждение Нюксенского муниципального района "Физкультурно-оздоровительный комплекс "Газовик";161380 Нюксенский р-н, с.Нюксеница, ул.Советская, 13;0;0;;;
79;360;Государственное учреждение "Центр сервисного обслуживания спецтехники и средств связи Управления внутренних дел по Вологодской области";160035 г.Вологда, ул.Предтеченская, 58-г;390,23771;52,51766;;;
80;453;Федеральное казенное образовательное учреждение высшего профессионального образования "Вологодский институт права и экономики Федеральной службы исполнения наказаний ";160002 г.Вологда, ул.Щетинина, 2;1736,24886;12,19338;;;
81;501;Центр Государственной инспекции по маломерным судам Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий по Вологодской области;160035 г.Вологда, ул.Зосимовская, 63-а;687,49575;301,94301;;;
82;505;Местная православная религиозная организация  Приход храма Воскресения Христова с.Молочное г.Вологды Русской Православной Церкви (Московский Патриарх);160555 г.Вологда, п.Молочное, ул.Советская, 9;17,1817;9,71912;;;
83;506;Четырнадцатый арбитражный апелляционный суд;160001 г.Вологда, ул.Батюшкова, 12;702,241;206,99113;;;
84;509;Федеральное государственное учреждение здравоохранения "Центр гигиены и эпидемиологического надзора в Вологодской области";160012 г. Вологда, ул.Яшина, 1-а;16891,85336;6990,34591;;;
85;769;Православная религиозная организация Спасо-Прилуцкий Димитриев мужской епархиальный монастырь г.Вологды Русской Православной Церкви (Московский Патриархат);160901 г.Вологда, ул.Монастырская, 2;545,77176;390,74249;;;
86;919;Бюджетное учреждение социального обслуживания "Дом-интернат для престарелых и инвалидов";162345 Великоустюгский р-н, п.Кузино, ул.Лермонтова, 35;1051,5785;0;;;
