№ п/п;Реестровый №;Наименование юридического лица,  которому имущество области передано в аренду;Почтовый адрес;Балансовая стоимость основных средств, тыс. руб.; Остаточная стоимость основных средств, тыс. руб.;Незавершенное строительство (размер затрат), тыс.руб.;
1;111;Открытое акционерное общество "Вологодское авиационное предприятие";160015 г.Вологда, п.Дорожный, Аэропорт;6687,963;0;;
2;117;Открытое акционерное общество "Межрегиональная распределительная сетевая компания Северо-Запада";188300 Ленинградская обл., г.Гатчина, ул.Соборная, 31;171,73;171,73;;
3;158;Общество с ограниченной ответственностью "Галантерея";162390 г.Великий Устюг, ул.А.Угловского, 7;7179,63406;2418,23044;;
4;215;Муниципальное унитарное предприятие водопроводно-канализационного хозяйства г.Великий Устюг;162390 г.Великий Устюг, ул.Пушкина, д.17;9278,24095;9278,24095;;
5;259;Закрытое акционерное общество "Великоустюгское пассажирское автотранспортное предприятие";162394 г.В.Устюг, ул.Транспортная, 4;1490,93776;883,77635;;
6;261;Общество с ограниченной ответственностью "Никольское автотранспортное предприятие";161440 г.Никольск, ул.Маршала Конева, 145;1419;621,0765;;
7;677;Открытое акционерное общество    "Издательство "Север";160001 г.Вологда, ул.Челюскинцев, 3;85,102;40,24;;
8;752;Открытое акционерное общество "Дед Мороз";162390 г.В.Устюг, Советский пр-кт, 85;5759,953;5759,953;;
9;914;Закрытое акционерное общество  "Торговый дом "Вологда";197342 г.Санкт-Петербург, наб.Черной речки, 61-1;19,932;16,385;;
10;1001;Общество с ограниченной ответственностью "Новаторский лесоперерабатывающий комбинат";162390 г.В.Устюг, ул.Виноградова, 4;705,425;705,425;;
11;1004;Общество с ограниченной ответственностью "Производственно-коммерческая фирма "Левком";162603 г.Череповец, ул.Краснодонцев, 5;278,435;168,23463;;
12;1253;Федеральное государственное бюджетное учреждение "Российское энергетическое агентство" Министерства энергетики Российской Федерации;109074 г.Москва, Славянская пл., 4, стр.2;345,5;269,8;;
13;1338;Кооператив "Универсал" при Череповецком гос. пед.институте им.Луначарского;162626 г.Череповец, п.Лесное;448,6;171,6;;
14;2477;Закрытое акционерное общество "Вологодское предприятие большегрузных автомобилей";160019 г.Вологда, ул.Чернышевского, 147;1023,042;592,25997;;
15;3039;Открытое акционерное общество "Газпром газораспределение";190000 г.Санкт-Петербург, ВОХ 1051;121898,932;106032,22275;;
16;3040;Открытое акционерное общество "Вологдаоблгаз";160014 г.Вологда, ул.Саммера, 4-а;4400,6;3914,5;19101,17;
17;3042;Открытое акционерное общество "Дорожное эксплуатационное предприятие №186";162430 Чагодощенский р-н, п.Сазоново, ул.Советская, 86-б;4551,704;980,842;;
18;3265;ООО "Ремонтно-строительная фирма";160017 г.Вологда, Говоровский проезд, 6;982,79365;663,88603;;
19;3338;Государственное учреждение-Вологодское региональное отделение Фонда социального страхования Российской Федерации;160001 г.Вологда, пр.Победы, 33;70,51495;2,94442;;
20;3340;Общество с ограниченной ответственностью "Строительно-производственное предприятие";160012 г.Вологда, ул.Элеваторная, 37-а;157,878;59,493;;
21;3342;Открытое акционерное общество "Шексна-Водоканал";162562 Шекснинский р-н, п.Шексна, ул.Шоссейная, д.15;212535,46516;191338,35294;;
22;3344;Открытое акционерное общество междугородной и международной электрической связи "Ростелеком";191186 г.Санкт-Петербург, ул.Гороховая, 14/26;19409,18036;11772,42482;;
23;3481;Общество с ограниченной ответственностью "Автосервис";160001 г.Вологда, ул.Батюшкова, 16-а;671,07844;28,02157;;
24;3487;Общество с ограниченной ответственностью "Кич-Городокавтотранс";161400 с.Кич-Городок, ул.Советская, 35-а;1788,907;992,24725;;
25;3499;Открытое акционерное общество "Вологодавтодор";160019 г.Вологда, ул.Комсомольская, 55;40699,4;23655,861;;
26;3520;Общество с ограниченной ответственностью "Устюжнаавтодор";162840 Устюженский р-н., д.Ветренниково;0;0;;
27;3539;Общество с ограниченной ответственностью "Центр по выполнению работ и оказанию услуг природоохранного назначения";160014 г.Вологда, ул.Горького, 83-а;99,4;99,4;;
28;3971;Открытое акционерное общество "Территориальная генерирующая компания №2";150040 г.Ярославль, пр-кт Октября, 42;102,30277;0;;
